Sl.no,College name,City,District,Type of college,Course 1,Course 2,Course 3,Course 4,Course 5,NAAC Accredited,NAAC Grade,Google Rating,Google Review,Sentiment
1,"College of Engineering, Trivandrum",Thiruvananthapuram,Thiruvananthapuram,Engineering Colleges,Mechanical Engineering,Civil Engineering,Electrical & Electronics Engineering,Electronics & Communication Engineering,Computer Science & Engineering,Yes,A++,4.8,"Excellent faculty, strong alumni network, and great placement opportunities.",Positive
2,"Government Engineering College, Thrissur",Thrissur,Thrissur,Engineering Colleges,Civil Engineering,Mechanical Engineering,Electrical & Electronics Engineering,Electronics & Communication Engineering,Chemical Engineering,Yes,A+,4.6,Known for its academic rigor and active student community.,Positive
3,TKM College of Engineering,Kollam,Kollam,Engineering Colleges,Mechanical Engineering,Civil Engineering,Electrical & Electronics Engineering,Electronics & Communication Engineering,Computer Science & Engineering,Yes,A++,4.5,"Great campus life, reputed for its mechanical and civil engineering programs.",Positive
4,NSS College of Engineering,Palakkad,Palakkad,Engineering Colleges,Civil Engineering,Mechanical Engineering,Electrical & Electronics Engineering,Electronics & Communication Engineering,Computer Science & Engineering,Yes,A+,4.3,"A good mix of academics and extracurriculars, improving placements in recent years.",Positive
5,Model Engineering College,Kochi,Ernakulam,Engineering Colleges,Computer Science & Engineering,Electronics & Communication Engineering,Electrical & Electronics Engineering,Mechanical Engineering,Civil Engineering,Yes,A+,4.7,One of the best for computer science and electronics in Kerala.,Positive
6,Rajagiri School of Engineering & Technology,Kakkanad,Ernakulam,Engineering Colleges,Computer Science & Engineering,Electronics & Communication Engineering,Electrical & Electronics Engineering,Mechanical Engineering,Civil Engineering,Yes,A++,4.6,"Modern infrastructure, excellent faculty, strong industry ties.",Positive
7,"Government Engineering College, Barton Hill",Thiruvananthapuram,Thiruvananthapuram,Engineering Colleges,Mechanical Engineering,Civil Engineering,Electrical & Electronics Engineering,Electronics & Communication Engineering,Information Technology,Yes,A,4.4,Central location and solid academic environment make it a favorite.,Positive
8,Mar Athanasius College of Engineering,Kothamangalam,Ernakulam,Engineering Colleges,Civil Engineering,Mechanical Engineering,Electrical & Electronics Engineering,Electronics & Communication Engineering,Computer Science & Engineering,Yes,A+,4.5,"Strong reputation, active clubs, and supportive teaching staff.",Positive
9,Amal Jyothi College of Engineering,Kanjirapally,Kottayam,Engineering Colleges,Computer Science & Engineering,Civil Engineering,Mechanical Engineering,Electrical & Electronics Engineering,Electronics & Communication Engineering,Yes,A++,4.4,"Known for discipline, innovation initiatives, and supportive campus life.",Positive
10,Federal Institute of Science and Technology (FISAT),Angamaly,Ernakulam,Engineering Colleges,Computer Science & Engineering,Electronics & Communication Engineering,Electrical & Electronics Engineering,Mechanical Engineering,Civil Engineering,Yes,A+,4.3,"Tech-driven culture, with a good focus on entrepreneurship and research.",Positive
11,Saintgits College of Engineering,Pathamuttom,Kottayam,Engineering Colleges,Computer Science & Engineering,Electronics & Communication Engineering,Electrical & Electronics Engineering,Mechanical Engineering,Civil Engineering,Yes,A+,4.2,"Strong in electronics and IT, offers global exposure programs.",Positive
12,LBS College of Engineering,Kasaragod,Kasaragod,Engineering Colleges,Computer Science & Engineering,Electronics & Communication Engineering,Electrical & Electronics Engineering,Mechanical Engineering,Civil Engineering,Yes,A,4.1,"One of the oldest self-financing colleges, known for student-driven activities.",Positive
13,"College of Engineering, Chengannur",Chengannur,Alappuzha,Engineering Colleges,Computer Science & Engineering,Electronics & Communication Engineering,Electrical & Electronics Engineering,Mechanical Engineering,Civil Engineering,Yes,A,4.2,Noted for its friendly atmosphere and growing placement cell.,Positive
14,MES College of Engineering,Kuttippuram,Malappuram,Engineering Colleges,Computer Science & Engineering,Electronics & Communication Engineering,Electrical & Electronics Engineering,Mechanical Engineering,Civil Engineering,Yes,A+,4.3,Diverse student population and good academic environment.,Positive
15,Vidya Academy of Science and Technology,Thrissur,Thrissur,Engineering Colleges,Computer Science & Engineering,Electronics & Communication Engineering,Electrical & Electronics Engineering,Mechanical Engineering,Civil Engineering,Yes,A+,4.1,Supportive management and skill-focused programs.,Positive
16,SCMS School of Engineering and Technology,Ernakulam,Ernakulam,Engineering Colleges,Computer Science & Engineering,Electronics & Communication Engineering,Electrical & Electronics Engineering,Mechanical Engineering,Civil Engineering,Yes,A,4,"Well-maintained campus and decent placements, especially in CS and EC.",Neutral
17,Sree Chitra Thirunal College of Engineering,Thiruvananthapuram,Thiruvananthapuram,Engineering Colleges,Mechanical Engineering,Civil Engineering,Electrical & Electronics Engineering,Electronics & Communication Engineering,Computer Science & Engineering,Yes,A,4.4,"High NIRF ranks, excellent for robotics and embedded systems.",Positive
18,"Government Engineering College, Idukki",Painavu,Idukki,Engineering Colleges,Computer Science & Engineering,Electronics & Communication Engineering,Electrical & Electronics Engineering,Mechanical Engineering,Civil Engineering,Yes,A,3.9,"Remote location, but improving facilities and placement efforts.",Negative
19,Sahrdaya College of Engineering & Technology,Kodakara,Thrissur,Engineering Colleges,Computer Science & Engineering,Electronics & Communication Engineering,Electrical & Electronics Engineering,Mechanical Engineering,Civil Engineering,Yes,A,4,Values-driven institution with strong academics and community initiatives.,Positive
20,"College of Engineering, Karunagappally",Karunagappally,Kollam,Engineering Colleges,Computer Science & Engineering,Electronics & Communication Engineering,Electrical & Electronics Engineering,Mechanical Engineering,Civil Engineering,Yes,A,3.8,"Developing campus, showing promise with new labs and industry outreach.",Positive
21,Maharaja’s College,Ernakulam,Ernakulam,Arts & Science Colleges,B.A. Economics,B.Sc. Physics,B.Sc. Chemistry,B.Com,B.A. English,Yes,A++,4.5,"Rich legacy, excellent faculty, and dynamic arts and science programs.",Positive
22,St. Thomas College,Thrissur,Thrissur,Arts & Science Colleges,B.A. History,B.Sc. Mathematics,B.Com,B.A. English,B.Sc. Chemistry,Yes,A+,4.4,A reputed institution with great extracurricular support.,Positive
23,Sacred Heart College,Thevara,Ernakulam,Arts & Science Colleges,B.A. Economics,B.Sc. Physics,B.Com,B.A. English,B.Sc. Biotechnology,Yes,A++,4.5,"Strong emphasis on values and academics, known for its scenic campus.",Positive
24,Government Victoria College,Palakkad,Palakkad,Arts & Science Colleges,B.A. History,B.Sc. Mathematics,B.Com,B.A. Malayalam,B.Sc. Physics,Yes,A,4.3,"One of the oldest colleges, known for its intellectual environment.",Positive
25,Farook College,Kozhikode,Kozhikode,Arts & Science Colleges,B.Sc. Physics,B.Com,B.A. Economics,B.Sc. Zoology,B.A. English,Yes,A++,4.6,"Culturally rich, well-known for arts and research in humanities and science.",Positive
26,CMS College,Kottayam,Kottayam,Arts & Science Colleges,B.Sc. Chemistry,B.A. English,B.Sc. Physics,B.Com,B.Sc. Zoology,Yes,A+,4.4,Excellent faculty and historic campus with modern amenities.,Positive
27,St. Berchmans College,Changanassery,Kottayam,Arts & Science Colleges,B.A. English,B.Com,B.Sc. Chemistry,B.A. Economics,B.Sc. Mathematics,Yes,A++,4.3,"Balanced focus on academics, sports, and literature.",Positive
28,Baselius College,Kottayam,Kottayam,Arts & Science Colleges,B.Sc. Physics,B.Com,B.A. Economics,B.Sc. Chemistry,B.A. Malayalam,Yes,A+,4.2,"Friendly faculty, good in science streams, and vibrant student groups.",Positive
29,Mar Ivanios College,Thiruvananthapuram,Thiruvananthapuram,Arts & Science Colleges,B.A. English,B.Com,B.Sc. Physics,B.Sc. Biotechnology,B.A. Economics,Yes,A+,4.5,"Top-notch in media and science, known for its disciplined academic environment.",Positive
30,Union Christian College,Aluva,Ernakulam,Arts & Science Colleges,B.A. History,B.Sc. Chemistry,B.Com,B.A. English,B.Sc. Botany,Yes,A++,4.4,"Peaceful campus, great for holistic development, and community-oriented.",Positive
31,Government College,Kasaragod,Kasaragod,Arts & Science Colleges,B.Sc. Mathematics,B.A. Malayalam,B.Com,B.Sc. Chemistry,B.A. History,Yes,A,4,Offers a solid academic foundation; campus facilities vary by location.,Neutral
